id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
4,1.5,1.8395380362,-0.2650263673,-0.5518137706,1.6732956383,-0.4655186644,-0.7246649802
4,1.6,1.8226844375,-0.2841541783,-0.5529611476,1.6587908333,-0.4806038313,-0.7337927065
4,1.7,1.8108037793,-0.2995286748,-0.5562733402,1.6497008472,-0.4934058666,-0.7432113384
4,1.8,1.803193538,-0.3094076628,-0.5598773205,1.6445846421,-0.502545544,-0.7499785547
4,1.9,1.80051994,-0.3137564295,-0.5613871435,1.6430823648,-0.5056271128,-0.7538077322
5,0.1,2.3195482438,0.2269752865,-0.5302942868,2.3205338049,0.2257349795,-0.8068205966
5,0.2,2.3203812496,0.2221463406,-0.5356638577,2.3196248516,0.2251745666,-0.8122109741
5,0.3,2.3195805087,0.2204890196,-0.5263624021,2.3178563423,0.2221123042,-0.8029239803
5,0.4,2.317486762,0.2173433362,-0.528589018,2.3182381849,0.2181454325,-0.8050777903
5,0.5,2.3153795799,0.2209499722,-0.526185751,2.3159962594,0.2156896595,-0.8026616443
5,0.6,2.3158305292,0.2121363599,-0.5291136091,2.3123644152,0.2150203804,-0.8055995583
5,0.7,2.3151584374,0.2092951251,-0.5245237628,2.3061539979,0.2109947076,-0.8009109368
5,0.8,2.3125896449,0.2017699082,-0.5170204575,2.3036437815,0.2083540428,-0.7933572777
5,0.9,2.312305465,0.1969923498,-0.5218711645,2.2789324768,0.1741846405,-0.7945450531
5,1,2.3040486917,0.1672273964,-0.5345681556,2.2077556462,0.0810293345,-0.7745962443
5,1.1,2.2645196338,0.0954114629,-0.5413342458,2.1156627326,-0.0399577668,-0.7343399246
5,1.2,2.2056283996,0.038093242,-0.5650969079,2.0450993749,-0.1354919997,-0.7310579881
5,1.3,2.1547754513,-0.0409112974,-0.5561257128,1.9829086732,-0.2464119363,-0.6833926596
5,1.4,2.1575851827,-0.0518347643,-0.5231942046,1.9855624623,-0.2403814701,-0.6494402768
5,1.5,2.1332643587,-0.0826140894,-0.4938171926,1.9567387392,-0.2509612878,-0.6247760474
5,1.6,2.0580093669,-0.1415924161,-0.5160156161,1.8878051179,-0.3245798882,-0.6394357673
5,1.7,2.0163195127,-0.1723856448,-0.5230764982,1.8546033261,-0.346768151,-0.6642470467
5,1.8,1.9750816148,-0.2012631309,-0.5472872231,1.8120445044,-0.374774655,-0.6878343538
5,1.9,1.9382768041,-0.2254785676,-0.5717927032,1.7807420567,-0.4069982502,-0.7084817608
